"","club","sofifa_id","player_url","short_name","long_name","age","dob","height_cm","weight_kg","nationality","overall","potential","value_eur","wage_eur","player_positions","preferred_foot","international_reputation","weak_foot","skill_moves","work_rate","body_type","real_face","release_clause_eur","player_tags","team_position","team_jersey_number","loaned_from","joined","contract_valid_until","nation_position","nation_jersey_number","pace","shooting","passing","dribbling","defending","physic","gk_diving","gk_handling","gk_kicking","gk_reflexes","gk_speed","gk_positioning","player_traits","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes","ls","st","rs","lw","lf","cf","rf","rw","lam","cam","ram","lm","lcm","cm","rcm","rm","lwb","ldm","cdm","rdm","rwb","lb","lcb","cb","rcb","rb","league","country","player_positions.first","player_positions.class"
"1753","Genoa",230912,"https://sofifa.com/player/230912/paolo-ghiglione/20/159586","P. Ghiglione","Paolo Ghiglione",22,"1997-02-02",187,80,"Italy",66,76,1000000,4000,"RM, RB","Right",1,2,3,"Medium/Medium","Normal","No",2000000,"","RM",18,"","2015-07-01",2022,"",NA,75,52,60,68,63,56,NA,NA,NA,NA,NA,NA,"",70,50,58,60,50,68,49,40,53,70,74,75,65,67,59,60,41,47,61,42,57,65,68,63,59,59,60,65,65,7,13,7,7,14,61,61,61,65,64,64,64,65,63,63,63,65,61,61,61,65,64,61,61,61,64,64,62,62,62,64,"Serie A","Italy","RM","Midfielder"
"1754","Genoa",234102,"https://sofifa.com/player/234102/ionut-andrei-radu/20/159586","I. Radu","Ionut Andrei Radu",22,"1997-05-28",188,78,"Romania",75,87,9500000,10000,"GK","Right",1,2,1,"Medium/Medium","Lean","No",NA,"","GK",97,"Inter","",2020,"SUB",1,NA,NA,NA,NA,NA,NA,79,69,72,80,40,74,"Acrobatic Clearance",13,18,16,24,16,15,16,15,26,17,42,38,43,65,40,54,59,32,58,17,22,14,9,37,15,56,12,19,15,79,69,72,74,80,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"Serie A","Italy","GK","Goal Keeper"
"1755","Genoa",220912,"https://sofifa.com/player/220912/filip-jagiello/20/159586","F. Jagiello","Filip Jagiello",21,"1997-08-08",180,70,"Poland",65,73,800000,3000,"CM, CDM, CAM","Right",1,3,3,"Medium/Medium","Normal","No",1500000,"","SUB",15,"","2019-02-04",2023,"",NA,72,56,64,68,47,60,NA,NA,NA,NA,NA,NA,"",58,50,35,67,54,68,60,52,65,67,73,72,76,64,70,63,67,68,59,66,50,44,54,67,48,60,45,53,53,11,9,13,6,15,58,58,58,64,62,62,62,64,65,65,65,64,63,63,63,64,59,57,57,57,59,57,51,51,51,57,"Serie A","Italy","CM","Midfielder"
"1756","Genoa",246698,"https://sofifa.com/player/246698/mattia-zennaro/20/159586","M. Zennaro","Mattia Zennaro",18,"2000-08-03",180,70,"Italy",55,73,160000,1000,"CM","Right",1,3,2,"Medium/Medium","Lean","No",372000,"","RES",30,"","2019-01-31",2021,"",NA,59,40,53,54,43,47,NA,NA,NA,NA,NA,NA,"",42,30,49,62,38,52,42,34,60,54,60,59,53,50,79,55,55,53,38,40,61,46,56,52,46,52,35,47,44,8,9,6,6,7,48,48,48,50,51,51,51,50,52,52,52,52,53,53,53,52,49,50,50,50,49,48,46,46,46,48,"Serie A","Italy","CM","Midfielder"
"1757","Genoa",238013,"https://sofifa.com/player/238013/jandrei-chitolina-carniel/20/159586","Jandrei","Jandrei Chitolina Carniel",26,"1993-03-01",186,76,"Brazil",72,77,3000000,9000,"GK","Right",1,2,1,"Medium/Medium","Normal","No",5400000,"","SUB",93,"","2019-01-30",2021,"",NA,NA,NA,NA,NA,NA,NA,72,71,69,76,28,70,"Flair, Acrobatic Clearance",11,8,12,25,9,11,20,11,57,28,24,32,56,58,38,52,60,26,45,9,30,11,8,56,13,41,19,10,25,72,71,69,70,76,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"Serie A","Italy","GK","Goal Keeper"
"1758","Genoa",186589,"https://sofifa.com/player/186589/ivan-radovanovic/20/159586","I. Radovanovic","Ivan Radovanovic",30,"1988-08-29",187,80,"Serbia",76,76,6500000,16000,"CDM, CM","Right",2,3,2,"Low/High","Lean","No",11100000,"","SUB",21,"","2019-01-31",2021,"",NA,55,59,72,68,73,77,NA,NA,NA,NA,NA,NA,"Leadership, Argues with Officials",62,40,72,77,56,67,65,58,76,74,48,61,58,72,57,83,71,71,79,78,79,79,61,75,58,75,68,77,68,5,6,6,5,5,64,64,64,64,66,66,66,64,68,68,68,66,73,73,73,66,70,75,75,75,70,70,74,74,74,70,"Serie A","Italy","CDM","Midfielder"
"1759","Genoa",177983,"https://sofifa.com/player/177983/cristian-zapata/20/159586","C. Zapata","Cristian Eduardo Zapata Valencia",32,"1986-09-30",186,78,"Colombia",78,78,6500000,18000,"CB","Right",2,2,2,"Low/Medium","Normal","No",11100000,"","CB",2,"","2019-07-03",2021,"SUB",2,61,32,46,56,82,76,NA,NA,NA,NA,NA,NA,"Power Free-Kick",45,22,76,50,22,55,38,24,58,55,59,63,58,64,58,60,82,58,84,28,78,80,35,38,38,68,86,82,78,3,5,3,5,3,50,50,50,47,47,47,47,47,47,47,47,50,52,52,52,50,64,67,67,67,64,67,77,77,77,67,"Serie A","Italy","CB","Defender"
"1760","Genoa",232488,"https://sofifa.com/player/232488/cristian-romero/20/159586","C. Romero","Cristian Gabriel Romero",21,"1998-04-27",185,79,"Argentina",73,87,8000000,9000,"CB, RB","Right",1,2,2,"Low/High","Normal","No",18600000,"","RCB",17,"","2019-07-12",2024,"",NA,63,35,43,47,72,77,NA,NA,NA,NA,NA,NA,"",31,26,76,55,33,36,35,29,46,54,61,65,64,71,64,51,76,72,75,37,88,76,31,36,40,58,67,73,74,5,7,11,10,14,48,48,48,45,46,46,46,45,46,46,46,47,51,51,51,47,61,64,64,64,61,65,72,72,72,65,"Serie A","Italy","CB","Defender"
"1761","Genoa",219932,"https://sofifa.com/player/219932/antonio-sanabria/20/159586","A. Sanabria","Antonio Sanabria",23,"1996-03-04",180,74,"Paraguay",77,84,12500000,18000,"ST","Right",1,4,4,"High/Medium","Normal","Yes",NA,"","SUB",9,"Real Betis","",2020,"SUB",10,76,74,71,78,35,64,NA,NA,NA,NA,NA,NA,"Injury Free, Early Crosser",67,78,78,75,67,78,73,64,63,79,75,76,74,74,75,75,76,67,75,65,32,21,79,73,69,76,50,20,15,8,14,9,14,13,76,76,76,75,76,76,76,75,75,75,75,74,67,67,67,74,54,52,52,52,54,51,46,46,46,51,"Serie A","Italy","ST","Forward"
"1762","Genoa",172143,"https://sofifa.com/player/172143/lasse-schone/20/159586","L. Schøne","Lasse Schøne",33,"1986-05-27",177,78,"Denmark",77,77,5000000,19000,"CM, CDM","Right",2,3,3,"Medium/Medium","Normal","No",8500000,"#FK Specialist","CDM",20,"","2019-08-08",2021,"RCM",19,48,74,81,76,63,62,NA,NA,NA,NA,NA,NA,"Selfish, Giant Throw-in",80,67,60,82,84,75,85,87,78,82,53,43,66,72,76,83,75,65,58,82,65,78,66,80,76,75,67,54,48,16,16,9,12,11,69,69,69,72,72,72,72,72,74,74,74,72,76,76,76,72,67,71,71,71,67,65,63,63,63,65,"Serie A","Italy","CM","Midfielder"
"1763","Genoa",213938,"https://sofifa.com/player/213938/davide-biraschi/20/159586","D. Biraschi","Davide Biraschi",24,"1994-07-02",182,72,"Italy",73,80,5000000,11000,"CB, RB","Right",1,2,2,"Medium/Medium","Normal","No",9500000,"","SUB",14,"","2016-08-31",2022,"",NA,60,35,56,61,75,67,NA,NA,NA,NA,NA,NA,"",49,31,66,66,30,56,46,38,60,69,66,55,56,72,68,50,72,58,70,28,67,74,47,49,32,64,76,78,75,15,9,16,7,12,53,53,53,55,55,55,55,55,56,56,56,57,60,60,60,57,66,69,69,69,66,68,72,72,72,68,"Serie A","Italy","CB","Defender"
"1764","Genoa",231264,"https://sofifa.com/player/231264/thomas-rodriguez/20/159586","T. Rodríguez","Thomas Rodríguez",23,"1996-04-05",183,76,"Argentina",63,71,550000,3000,"RM","Right",1,3,3,"Medium/Medium","Lean","No",1000000,"","RES",34,"","2017-08-10",2022,"",NA,65,54,59,67,43,55,NA,NA,NA,NA,NA,NA,"Crowd Favourite",67,55,44,61,42,71,55,40,55,65,55,73,66,55,61,61,46,47,69,45,34,33,66,58,50,67,42,52,40,10,6,6,13,8,59,59,59,62,61,61,61,62,61,61,61,62,57,57,57,62,53,50,50,50,53,51,47,47,47,51,"Serie A","Italy","RM","Midfielder"
"1765","Genoa",201046,"https://sofifa.com/player/201046/riccardo-saponara/20/159586","R. Saponara","Riccardo Saponara",27,"1991-12-21",184,73,"Italy",77,77,9500000,19000,"CAM","Right",2,4,4,"High/Medium","Normal","No",NA,"","LCM",91,"Fiorentina","",2020,"",NA,68,67,77,80,43,61,NA,NA,NA,NA,NA,NA,"Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",74,64,58,79,64,82,80,70,73,84,64,71,71,68,70,71,62,65,63,66,52,30,76,79,68,74,61,34,30,5,3,5,5,3,70,70,70,74,74,74,74,74,76,76,76,75,71,71,71,75,59,58,58,58,59,55,50,50,50,55,"Serie A","Italy","CAM","Midfielder"
"1766","Genoa",173208,"https://sofifa.com/player/173208/domenico-criscito/20/159586","D. Criscito","Domenico Criscito",32,"1986-12-30",183,75,"Italy",79,79,8000000,20000,"LB, CB","Left",2,3,3,"High/Medium","Normal","No",13600000,"","LCB",4,"","2018-07-01",2022,"",NA,74,61,76,72,79,75,NA,NA,NA,NA,NA,NA,"Diver, Avoids Using Weaker Foot, Leadership",80,56,69,78,62,72,72,66,79,73,75,74,67,75,65,68,78,83,70,59,79,75,68,72,70,75,82,80,81,13,10,16,9,9,68,68,68,71,70,70,70,71,71,71,71,73,74,74,74,73,77,77,77,77,77,77,76,76,76,77,"Serie A","Italy","LB","Defender"
"1767","Genoa",202135,"https://sofifa.com/player/202135/stefano-sturaro/20/159586","S. Sturaro","Stefano Sturaro",26,"1993-03-09",181,80,"Italy",75,78,8000000,17000,"CM","Right",2,3,3,"High/High","Normal","Yes",14200000,"","SUB",27,"","2019-02-06",2021,"",NA,70,67,72,75,76,78,NA,NA,NA,NA,NA,NA,"Injury Prone",68,55,68,77,74,76,64,64,75,77,71,70,73,68,67,78,66,77,77,77,86,75,73,69,68,74,76,78,77,15,10,5,14,11,70,70,70,71,71,71,71,71,72,72,72,72,74,74,74,72,74,76,76,76,74,74,75,75,75,74,"Serie A","Italy","CM","Midfielder"
"1768","Genoa",202944,"https://sofifa.com/player/202944/oscar-hiljemark/20/159586","O. Hiljemark","Oscar Hiljemark",27,"1992-06-28",184,73,"Sweden",74,75,6500000,15000,"CM, CDM","Right",1,3,3,"High/High","Normal","No",11500000,"#Engine","SUB",88,"","2017-07-11",2020,"",NA,65,61,73,72,63,74,NA,NA,NA,NA,NA,NA,"Argues with Officials",68,48,59,77,50,72,70,73,77,75,66,65,64,71,64,83,72,89,68,67,69,70,65,69,64,73,51,71,60,6,8,15,16,12,65,65,65,67,68,68,68,67,69,69,69,70,73,73,73,70,70,71,71,71,70,68,65,65,65,68,"Serie A","Italy","CM","Midfielder"
"1769","Genoa",221958,"https://sofifa.com/player/221958/marco-albertoni/20/159586","M. Albertoni","Marco Albertoni",23,"1995-08-05",188,82,"Italy",57,65,120000,2000,"GK","Left",1,2,1,"Medium/Medium","Normal","No",228000,"","RES",33,"","2014-02-03",2024,"",NA,NA,NA,NA,NA,NA,NA,58,56,54,59,42,51,"",15,20,12,28,19,13,13,15,18,23,45,40,39,57,57,41,55,40,56,13,25,25,13,20,29,25,17,15,13,58,56,54,51,59,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"Serie A","Italy","GK","Goal Keeper"
"1770","Getafe CF",240043,"https://sofifa.com/player/240043/filip-manojlovic/20/159586","F. Manojlovic","Filip Manojlovic",23,"1996-04-25",197,82,"Serbia",70,78,2000000,8000,"GK","Right",1,3,1,"Medium/Medium","Lean","No",4600000,"","RES",32,"","2017-07-21",2021,"",NA,NA,NA,NA,NA,NA,NA,73,69,71,70,19,65,"",11,8,13,22,5,14,10,12,24,16,21,18,36,67,21,53,37,17,74,9,18,10,7,32,16,50,18,12,10,73,69,71,65,70,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"La Liga","Spain","GK","Goal Keeper"
"1771","Getafe CF",217940,"https://sofifa.com/player/217940/dakonam-djene/20/159586","D. Djené","Djené Dakonam Ortega",27,"1991-12-31",178,72,"Togo",83,85,27000000,35000,"CB","Right",1,4,2,"Medium/High","Normal","No",58700000,"","RCB",2,"","2017-07-24",2021,"",NA,72,37,61,61,83,79,NA,NA,NA,NA,NA,NA,"Inflexible, Diver, Injury Prone, Leadership",60,29,79,74,22,50,51,48,64,71,74,71,71,81,69,67,79,73,79,27,88,84,49,42,41,72,83,85,82,7,15,7,10,10,58,58,58,58,57,57,57,58,58,58,58,61,63,63,63,61,74,76,76,76,74,77,81,81,81,77,"La Liga","Spain","CB","Defender"
"1772","Getafe CF",200228,"https://sofifa.com/player/200228/bruno-gonzalez-cabrera/20/159586","Bruno","Bruno González Cabrera",29,"1990-05-24",185,86,"Spain",77,78,8500000,23000,"CB","Right",1,3,2,"Medium/Medium","Stocky","No",18500000,"#Strength","SUB",4,"","2017-07-05",2020,"",NA,32,33,51,49,77,79,NA,NA,NA,NA,NA,NA,"Injury Prone, Long Passer (CPU AI Only)",21,23,80,72,23,40,49,31,68,67,31,33,30,77,31,66,63,63,88,22,81,77,36,35,42,69,75,77,76,12,9,8,13,8,51,51,51,43,48,48,48,43,48,48,48,47,58,58,58,47,61,72,72,72,61,64,76,76,76,64,"La Liga","Spain","CB","Defender"
"1773","Getafe CF",229631,"https://sofifa.com/player/229631/jose-carlos-lazo-romero/20/159586","Lazo","José Carlos Lazo Romero",23,"1996-02-16",178,69,"Spain",71,78,3300000,12000,"LM, LW","Left",1,3,3,"Medium/Medium","Normal","No",7700000,"","RES",26,"","2018-07-12",2021,"",NA,78,67,63,78,34,47,NA,NA,NA,NA,NA,NA,"Injury Free, Argues with Officials, Early Crosser, Crowd Favourite",67,68,32,65,49,82,67,52,64,76,79,78,79,65,67,75,57,54,48,66,34,23,61,56,45,62,45,33,31,11,7,9,11,6,65,65,65,71,69,69,69,71,68,68,68,69,61,61,61,69,54,49,49,49,54,50,41,41,41,50,"La Liga","Spain","LM","Midfielder"
"1774","Getafe CF",155984,"https://sofifa.com/player/155984/markel-bergara-larranaga/20/159586","Markel Bergara","Markel Bergara Larrañaga",33,"1986-05-05",181,78,"Spain",76,76,3700000,21000,"CDM, CM","Right",1,3,3,"Medium/Medium","Normal","No",7900000,"","SUB",5,"","2018-07-02",2020,"",NA,42,64,72,65,73,72,NA,NA,NA,NA,NA,NA,"",58,65,62,78,47,63,60,71,76,69,56,31,57,75,64,61,66,64,75,68,78,78,64,75,59,63,70,77,75,11,15,11,15,16,64,64,64,64,65,65,65,64,68,68,68,65,72,72,72,65,67,74,74,74,67,68,72,72,72,68,"La Liga","Spain","CDM","Midfielder"
"1775","Getafe CF",198240,"https://sofifa.com/player/198240/raul-garcia-carnero/20/159586","Raul García","Raúl García Carnero",30,"1989-04-30",175,72,"Spain",73,73,3200000,17000,"LB, CB, LM","Left",1,2,2,"Medium/Medium","Normal","Yes",6600000,"","SUB",14,"","2019-07-01",2022,"",NA,69,62,71,68,68,76,NA,NA,NA,NA,NA,NA,"",76,58,61,72,54,65,75,73,68,69,68,70,73,68,77,72,77,92,69,64,74,72,62,65,64,64,62,73,74,13,6,11,15,9,64,64,64,67,65,65,65,67,66,66,66,68,69,69,69,68,72,71,71,71,72,72,69,69,69,72,"La Liga","Spain","LB","Defender"
"1776","Getafe CF",239231,"https://sofifa.com/player/239231/marc-cucurella-saseta/20/159586","Cucurella","Marc Cucurella Saseta",20,"1998-07-22",172,69,"Spain",75,84,10500000,16000,"LM, LB","Left",1,3,3,"High/Medium","Lean","No",NA,"","LM",15,"FC Barcelona","",2020,"",NA,83,60,71,76,65,72,NA,NA,NA,NA,NA,NA,"Early Crosser",75,59,57,75,39,75,69,48,66,76,82,83,79,72,79,68,69,88,64,59,71,68,69,71,47,70,67,65,65,13,7,9,10,11,67,67,67,73,71,71,71,73,72,72,72,74,71,71,71,74,73,70,70,70,73,72,66,66,66,72,"La Liga","Spain","LM","Midfielder"
"1777","Getafe CF",203843,"https://sofifa.com/player/203843/damian-suarez/20/159586","D. Suárez","Damián Nicolás Suárez Suárez",31,"1988-04-27",173,68,"Uruguay",79,79,9000000,26000,"RB, RM","Right",1,3,3,"High/Medium","Normal","No",18900000,"","RB",22,"","2015-07-08",2022,"",NA,76,67,74,73,78,76,NA,NA,NA,NA,NA,NA,"Inflexible, Injury Prone, Leadership",81,59,71,78,59,71,69,70,72,73,74,77,75,76,76,83,77,78,71,71,84,79,59,62,67,74,78,79,81,16,9,9,15,7,69,69,69,71,69,69,69,71,70,70,70,72,72,72,72,72,77,76,76,76,77,77,77,77,77,77,"La Liga","Spain","RB","Defender"
"1778","Getafe CF",192667,"https://sofifa.com/player/192667/allan-nyom/20/159586","A. Nyom","Allan Nyom",31,"1988-05-10",189,80,"Cameroon",74,74,4100000,18000,"RWB, RB","Right",2,3,3,"Medium/Medium","Lean","Yes",8500000,"","SUB",12,"","2019-07-24",2021,"",NA,70,47,62,65,75,82,NA,NA,NA,NA,NA,NA,"Diver",74,27,64,63,44,68,68,30,64,71,64,75,41,71,46,74,56,78,88,66,80,72,51,54,37,67,75,78,78,12,8,9,9,14,59,59,59,61,60,60,60,61,60,60,60,64,64,64,64,64,72,71,71,71,72,73,74,74,74,73,"La Liga","Spain","RWB","Defender"
"1779","Getafe CF",219836,"https://sofifa.com/player/219836/ruben-yanez-alabart/20/159586","Rubén Yáñez","Rubén Yáñez Alabart",25,"1993-10-12",190,85,"Spain",67,72,750000,5000,"GK","Right",1,3,1,"Medium/Medium","Lean","No",1600000,"","RES",25,"","2017-08-16",2020,"",NA,NA,NA,NA,NA,NA,NA,66,65,61,69,43,65,"",15,13,20,27,19,16,20,15,22,14,44,43,51,64,28,46,59,38,68,17,20,19,18,30,25,47,12,14,13,66,65,61,65,69,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"La Liga","Spain","GK","Goal Keeper"
"1780","Getafe CF",243430,"https://sofifa.com/player/243430/david-alba-fernandez/20/159586","David Alba","David Alba Fernández",20,"1999-05-05",180,77,"Spain",64,75,725000,3000,"CB","Right",1,3,2,"Medium/Medium","Normal","No",1700000,"","RES",38,"","2017-07-01",2020,"",NA,44,22,40,39,65,54,NA,NA,NA,NA,NA,NA,"",25,16,67,64,21,26,26,29,29,57,44,44,33,55,60,36,73,32,63,19,54,62,22,26,32,44,59,71,66,7,15,7,6,9,39,39,39,36,37,37,37,36,38,38,38,38,43,43,43,38,51,55,55,55,51,54,63,63,63,54,"La Liga","Spain","CB","Defender"
"1781","Getafe CF",233631,"https://sofifa.com/player/233631/amath-ndiaye/20/159586","A. Ndiaye","Amath Ndiaye",22,"1996-07-16",173,63,"Senegal",76,85,12000000,20000,"LM","Right",1,4,4,"High/Medium","Lean","No",27600000,"","SUB",11,"","2017-08-10",2022,"",NA,87,70,67,81,46,66,NA,NA,NA,NA,NA,NA,"Selfish, Early Crosser, Crowd Favourite",65,74,65,71,66,85,61,65,60,77,89,86,83,68,75,74,80,68,65,64,62,41,74,67,49,75,41,52,35,6,7,14,8,9,73,73,73,75,75,75,75,75,74,74,74,74,67,67,67,74,61,58,58,58,61,58,54,54,54,58,"La Liga","Spain","LM","Midfielder"
"1782","Getafe CF",245599,"https://sofifa.com/player/245599/dario-ramos-pinazo/20/159586","Darío Ramos","Darío Ramos Pinazo",19,"1999-10-19",191,78,"Spain",58,75,230000,1000,"GK","Right",1,3,1,"Medium/Medium","Lean","No",627000,"","RES",30,"","2019-07-14",2021,"",NA,NA,NA,NA,NA,NA,NA,57,60,63,58,30,56,"",12,10,12,24,7,13,12,13,23,14,29,30,34,46,27,47,47,22,63,7,20,14,5,34,10,33,6,13,12,57,60,63,56,58,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"La Liga","Spain","GK","Goal Keeper"
"1783","Getafe CF",178424,"https://sofifa.com/player/178424/vitorino-pacheco-antunes/20/159586","Antunes","Vitorino Gabriel  Pacheco Antunes",32,"1987-04-01",176,70,"Portugal",80,80,9000000,27000,"LB","Left",2,3,4,"High/Medium","Normal","No",18900000,"","LB",3,"","2018-07-02",2020,"",NA,75,69,76,76,77,72,NA,NA,NA,NA,NA,NA,"Long Throw-in, Leadership, Argues with Officials",81,56,70,77,69,74,82,80,76,80,73,76,71,78,72,87,62,81,67,84,75,80,70,66,61,73,72,81,82,10,7,10,9,14,72,72,72,73,73,73,73,73,73,73,73,74,75,75,75,74,78,77,77,77,78,78,75,75,75,78,"La Liga","Spain","LB","Defender"
"1784","Getafe CF",243032,"https://sofifa.com/player/243032/hugo-duro-perales/20/159586","Hugo Duro","Hugo Duro Perales",19,"1999-11-10",171,70,"Spain",67,82,1600000,5000,"ST, LM","Left",1,3,2,"Medium/Medium","Normal","No",4500000,"","RES",27,"","2017-07-01",2022,"",NA,65,67,43,65,29,53,NA,NA,NA,NA,NA,NA,"",31,74,61,54,58,65,38,27,34,68,66,65,54,65,69,64,68,46,62,58,35,22,67,49,56,63,37,17,20,8,14,6,14,15,65,65,65,60,64,64,64,60,60,60,60,57,51,51,51,57,42,40,40,40,42,40,39,39,39,40,"La Liga","Spain","ST","Forward"
"1785","Getafe CF",223578,"https://sofifa.com/player/223578/jaime-mata-arnaiz/20/159586","Mata","Jaime Mata Arnaiz",30,"1988-10-24",185,79,"Spain",80,80,14500000,33000,"ST","Right",1,3,3,"High/Medium","Normal","No",30500000,"","RS",7,"","2018-07-02",2021,"",NA,72,79,61,75,31,77,NA,NA,NA,NA,NA,NA,"",63,84,75,65,72,79,55,48,51,78,71,73,63,84,41,78,69,72,79,71,80,19,84,66,76,76,29,28,29,12,8,10,6,12,78,78,78,74,77,77,77,74,73,73,73,73,65,65,65,73,54,52,52,52,54,51,49,49,49,51,"La Liga","Spain","ST","Forward"
"1786","Getafe CF",239433,"https://sofifa.com/player/239433/nemanja-maksimovic/20/159586","N. Maksimovic","Nemanja Maksimovic",24,"1995-01-26",189,78,"Serbia",78,84,14000000,22000,"CM, CDM","Right",1,3,3,"High/High","Normal","Yes",32200000,"","RDM",20,"","2018-07-16",2024,"",NA,62,67,74,71,76,74,NA,NA,NA,NA,NA,NA,"",61,70,69,79,49,70,63,72,76,76,60,64,62,82,60,66,73,77,73,69,71,80,72,79,50,78,76,79,70,14,10,15,15,13,70,70,70,71,72,72,72,71,73,73,73,72,76,76,76,72,73,77,77,77,73,73,75,75,75,73,"La Liga","Spain","CM","Midfielder"
"1787","Getafe CF",232665,"https://sofifa.com/player/232665/mauro-arambarri/20/159586","M. Arambarri","Mauro Wilney Arambarri Rosa",23,"1995-09-30",175,74,"Uruguay",77,82,11000000,19000,"CDM, CM","Right",1,3,3,"Medium/Medium","Normal","No",23900000,"","LDM",18,"","2018-07-01",2023,"",NA,37,57,70,71,76,70,NA,NA,NA,NA,NA,NA,"Leadership",59,49,62,79,43,69,66,46,78,79,34,40,59,72,75,80,58,67,68,57,82,74,60,68,50,63,78,79,74,7,13,13,15,7,62,62,62,62,64,64,64,62,67,67,67,64,72,72,72,64,69,75,75,75,69,68,73,73,73,68,"La Liga","Spain","CDM","Midfielder"
"1788","Getafe CF",190507,"https://sofifa.com/player/190507/xabier-etxeita-gorritxat/20/159586","Etxeita","Xabier Etxeita Gorritxategi",31,"1987-10-31",186,78,"Spain",73,73,3000000,17000,"CB","Right",1,3,2,"Low/Medium","Normal","No",6200000,"","SUB",16,"","2019-08-13",2021,"",NA,44,35,47,56,71,77,NA,NA,NA,NA,NA,NA,"Injury Prone, Long Passer (CPU AI Only)",36,29,76,63,38,47,35,43,54,64,35,52,67,72,52,54,80,69,79,34,80,75,28,30,30,66,67,71,73,6,7,8,10,7,50,50,50,46,47,47,47,46,48,48,48,48,54,54,54,48,62,66,66,66,62,64,72,72,72,64,"La Liga","Spain","CB","Defender"
"1789","Getafe CF",191628,"https://sofifa.com/player/191628/leandro-chichizola/20/159586","L. Chichizola","Leandro Chichizola",29,"1990-03-27",185,80,"Argentina",76,77,6000000,18000,"GK","Right",1,3,1,"Medium/Medium","Normal","Yes",13100000,"","SUB",1,"","2018-07-04",2021,"",NA,NA,NA,NA,NA,NA,NA,77,77,68,78,52,75,"",11,16,17,14,14,17,15,14,13,15,49,54,66,69,44,51,75,31,52,17,15,16,14,42,25,57,15,12,11,77,77,68,75,78,62.3303667745415,62.3303667745415,62.3303667745415,63.7009169363538,63.6413160733549,63.6413160733549,63.6413160733549,63.7009169363538,63.9757281553398,63.9757281553398,63.9757281553398,64.309331175836,63.299622437972,63.299622437972,63.299622437972,64.309331175836,61.5542071197411,61.3052858683927,61.3052858683927,61.3052858683927,61.5542071197411,60.6677454153182,59.4784250269687,59.4784250269687,59.4784250269687,60.6677454153182,"La Liga","Spain","GK","Goal Keeper"
